월(Monthly),구  분,부문명,시도별,사용검사실적
2019-02,LH,공공분양,전국,0
2019-02,LH,공공분양,서울,0
2019-02,LH,공공분양,인천,0
2019-02,LH,공공분양,경기,0
2019-02,LH,공공분양,부산,0
2019-02,LH,공공분양,대구,0
2019-02,LH,공공분양,광주,0
2019-02,LH,공공분양,대전,0
2019-02,LH,공공분양,울산,0
2019-02,LH,공공분양,세종,0
2019-02,LH,공공분양,강원,0
2019-02,LH,공공분양,충북,0
2019-02,LH,공공분양,충남,0
2019-02,LH,공공분양,전북,0
2019-02,LH,공공분양,전남,0
2019-02,LH,공공분양,경북,0
2019-02,LH,공공분양,경남,0
2019-02,LH,공공분양,제주,0
2019-02,주택업체,소계,전국,5,317
2019-02,주택업체,소계,서울,2,890
2019-02,주택업체,소계,인천,0
2019-02,주택업체,소계,경기,1,252
2019-02,주택업체,소계,부산,498
2019-02,주택업체,소계,대구,0
2019-02,주택업체,소계,광주,288
2019-02,주택업체,소계,대전,0
2019-02,주택업체,소계,울산,0
2019-02,주택업체,소계,세종,0
2019-02,주택업체,소계,강원,0
2019-02,주택업체,소계,충북,0
2019-02,주택업체,소계,충남,0
2019-02,주택업체,소계,전북,0
2019-02,주택업체,소계,전남,0
2019-02,주택업체,소계,경북,389
2019-02,주택업체,소계,경남,0
2019-02,주택업체,소계,제주,0
2019-02,주택업체,국민임대,전국,0
2019-02,주택업체,국민임대,서울,0
2019-02,주택업체,국민임대,인천,0
2019-02,주택업체,국민임대,경기,0
2019-02,주택업체,국민임대,부산,0
2019-02,주택업체,국민임대,대구,0
2019-02,주택업체,국민임대,광주,0
2019-02,주택업체,국민임대,대전,0
2019-02,주택업체,국민임대,울산,0
2019-02,주택업체,국민임대,세종,0
2019-02,주택업체,국민임대,강원,0
2019-02,주택업체,국민임대,충북,0
2019-02,주택업체,국민임대,충남,0
2019-02,주택업체,국민임대,전북,0
2019-02,주택업체,국민임대,전남,0
2019-02,주택업체,국민임대,경북,0
2019-02,주택업체,국민임대,경남,0
2019-02,주택업체,국민임대,제주,0
2019-02,주택업체,공공임대,전국,4,147
2019-02,주택업체,공공임대,서울,1,720
2019-02,주택업체,공공임대,인천,0
2019-02,주택업체,공공임대,경기,1,252
2019-02,주택업체,공공임대,부산,498
2019-02,주택업체,공공임대,대구,0
2019-02,주택업체,공공임대,광주,288
2019-02,주택업체,공공임대,대전,0
2019-02,주택업체,공공임대,울산,0
2019-02,주택업체,공공임대,세종,0
2019-02,주택업체,공공임대,강원,0
2019-02,주택업체,공공임대,충북,0
2019-02,주택업체,공공임대,충남,0
2019-02,주택업체,공공임대,전북,0
2019-02,주택업체,공공임대,전남,0
2019-02,주택업체,공공임대,경북,389
2019-02,주택업체,공공임대,경남,0
2019-02,주택업체,공공임대,제주,0
2019-02,주택업체,공공분양,전국,1,170
2019-02,주택업체,공공분양,서울,1,170
2019-02,주택업체,공공분양,인천,0
2019-02,주택업체,공공분양,경기,0
2019-02,주택업체,공공분양,부산,0
2019-02,주택업체,공공분양,대구,0
2019-02,주택업체,공공분양,광주,0
2019-02,주택업체,공공분양,대전,0
2019-02,주택업체,공공분양,울산,0
2019-02,주택업체,공공분양,세종,0
2019-02,주택업체,공공분양,강원,0
2019-02,주택업체,공공분양,충북,0
2019-02,주택업체,공공분양,충남,0
2019-02,주택업체,공공분양,전북,0
2019-02,주택업체,공공분양,전남,0
2019-02,주택업체,공공분양,경북,0
2019-02,주택업체,공공분양,경남,0
2019-02,주택업체,공공분양,제주,0
2019-02,민간부문,소계,전국,47,164
2019-02,민간부문,소계,서울,10,022
2019-02,민간부문,소계,인천,1,508
2019-02,민간부문,소계,경기,11,072
2019-02,민간부문,소계,부산,2,445
2019-02,민간부문,소계,대구,845
2019-02,민간부문,소계,광주,1,763
2019-02,민간부문,소계,대전,299
2019-02,민간부문,소계,울산,2,653
2019-02,민간부문,소계,세종,1,455
2019-02,민간부문,소계,강원,1,603
2019-02,민간부문,소계,충북,337
2019-02,민간부문,소계,충남,378
2019-02,민간부문,소계,전북,1,974
2019-02,민간부문,소계,전남,362
2019-02,민간부문,소계,경북,2,475
2019-02,민간부문,소계,경남,7,527
2019-02,민간부문,소계,제주,446
2019-02,민간,민간임대,전국,1,778
2019-02,민간,민간임대,서울,0
2019-02,민간,민간임대,인천,1,212
2019-02,민간,민간임대,경기,566
2019-02,민간,민간임대,부산,0
2019-02,민간,민간임대,대구,0
2019-02,민간,민간임대,광주,0
2019-02,민간,민간임대,대전,0
2019-02,민간,민간임대,울산,0
2019-02,민간,민간임대,세종,0
2019-02,민간,민간임대,강원,0
2019-02,민간,민간임대,충북,0
2019-02,민간,민간임대,충남,0
2019-02,민간,민간임대,전북,0
2019-02,민간,민간임대,전남,0
2019-02,민간,민간임대,경북,0
2019-02,민간,민간임대,경남,0
2019-02,민간,민간임대,제주,0
2019-02,민간,민간분양,전국,45,386
2019-02,민간,민간분양,서울,10,022
2019-02,민간,민간분양,인천,296
2019-02,민간,민간분양,경기,10,506
2019-02,민간,민간분양,부산,2,445
2019-02,민간,민간분양,대구,845
2019-02,민간,민간분양,광주,1,763
2019-02,민간,민간분양,대전,299
2019-02,민간,민간분양,울산,2,653
2019-02,민간,민간분양,세종,1,455
2019-02,민간,민간분양,강원,1,603
2019-02,민간,민간분양,충북,337
2019-02,민간,민간분양,충남,378
2019-02,민간,민간분양,전북,1,974
2019-02,민간,민간분양,전남,362
2019-02,민간,민간분양,경북,2,475
2019-02,민간,민간분양,경남,7,527
2019-02,민간,민간분양,제주,446
2019-03,총계,총계,전국,36,914
2019-03,총계,총계,서울,2,876
2019-03,총계,총계,인천,1,765
2019-03,총계,총계,경기,16,451
2019-03,총계,총계,부산,2,530
2019-03,총계,총계,대구,137
2019-03,총계,총계,광주,1,152
2019-03,총계,총계,대전,48
2019-03,총계,총계,울산,77
2019-03,총계,총계,세종,207
2019-03,총계,총계,강원,1,266
2019-03,총계,총계,충북,1,394
2019-03,총계,총계,충남,658
2019-03,총계,총계,전북,843
2019-03,총계,총계,전남,2,361
2019-03,총계,총계,경북,3,980
2019-03,총계,총계,경남,538
