월(Monthly),구  분,부문명,시도별,사용검사실적
2015-02,지자체,공공분양,경남,0
2015-02,지자체,공공분양,제주,0
2015-02,LH,소계,전국,0
2015-02,LH,소계,서울,0
2015-02,LH,소계,인천,0
2015-02,LH,소계,경기,0
2015-02,LH,소계,부산,0
2015-02,LH,소계,대구,0
2015-02,LH,소계,광주,0
2015-02,LH,소계,대전,0
2015-02,LH,소계,울산,0
2015-02,LH,소계,세종,0
2015-02,LH,소계,강원,0
2015-02,LH,소계,충북,0
2015-02,LH,소계,충남,0
2015-02,LH,소계,전북,0
2015-02,LH,소계,전남,0
2015-02,LH,소계,경북,0
2015-02,LH,소계,경남,0
2015-02,LH,소계,제주,0
2015-02,LH,국민임대,전국,0
2015-02,LH,국민임대,서울,0
2015-02,LH,국민임대,인천,0
2015-02,LH,국민임대,경기,0
2015-02,LH,국민임대,부산,0
2015-02,LH,국민임대,대구,0
2015-02,LH,국민임대,광주,0
2015-02,LH,국민임대,대전,0
2015-02,LH,국민임대,울산,0
2015-02,LH,국민임대,세종,0
2015-02,LH,국민임대,강원,0
2015-02,LH,국민임대,충북,0
2015-02,LH,국민임대,충남,0
2015-02,LH,국민임대,전북,0
2015-02,LH,국민임대,전남,0
2015-02,LH,국민임대,경북,0
2015-02,LH,국민임대,경남,0
2015-02,LH,국민임대,제주,0
2015-02,LH,공공임대,전국,0
2015-02,LH,공공임대,서울,0
2015-02,LH,공공임대,인천,0
2015-02,LH,공공임대,경기,0
2015-02,LH,공공임대,부산,0
2015-02,LH,공공임대,대구,0
2015-02,LH,공공임대,광주,0
2015-02,LH,공공임대,대전,0
2015-02,LH,공공임대,울산,0
2015-02,LH,공공임대,세종,0
2015-02,LH,공공임대,강원,0
2015-02,LH,공공임대,충북,0
2015-02,LH,공공임대,충남,0
2015-02,LH,공공임대,전북,0
2015-02,LH,공공임대,전남,0
2015-02,LH,공공임대,경북,0
2015-02,LH,공공임대,경남,0
2015-02,LH,공공임대,제주,0
2015-02,LH,공공분양,전국,0
2015-02,LH,공공분양,서울,0
2015-02,LH,공공분양,인천,0
2015-02,LH,공공분양,경기,0
2015-02,LH,공공분양,부산,0
2015-02,LH,공공분양,대구,0
2015-02,LH,공공분양,광주,0
2015-02,LH,공공분양,대전,0
2015-02,LH,공공분양,울산,0
2015-02,LH,공공분양,세종,0
2015-02,LH,공공분양,강원,0
2015-02,LH,공공분양,충북,0
2015-02,LH,공공분양,충남,0
2015-02,LH,공공분양,전북,0
