월(Monthly),구  분,부문명,시도별,사용검사실적
2023-02,주택업체,공공임대,인천,1,109
2023-02,주택업체,공공임대,경기,236
2023-02,주택업체,공공임대,부산,0
2023-02,주택업체,공공임대,대구,0
2023-02,주택업체,공공임대,광주,0
2023-02,주택업체,공공임대,대전,0
2023-02,주택업체,공공임대,울산,0
2023-02,주택업체,공공임대,세종,0
2023-02,주택업체,공공임대,강원,0
2023-02,주택업체,공공임대,충북,0
2023-02,주택업체,공공임대,충남,0
2023-02,주택업체,공공임대,전북,0
2023-02,주택업체,공공임대,전남,0
2023-02,주택업체,공공임대,경북,0
2023-02,주택업체,공공임대,경남,0
2023-02,주택업체,공공임대,제주,0
2023-02,주택업체,공공분양,전국,0
2023-02,주택업체,공공분양,서울,0
2023-02,주택업체,공공분양,인천,0
2023-02,주택업체,공공분양,경기,0
2023-02,주택업체,공공분양,부산,0
2023-02,주택업체,공공분양,대구,0
2023-02,주택업체,공공분양,광주,0
2023-02,주택업체,공공분양,대전,0
2023-02,주택업체,공공분양,울산,0
2023-02,주택업체,공공분양,세종,0
2023-02,주택업체,공공분양,강원,0
2023-02,주택업체,공공분양,충북,0
2023-02,주택업체,공공분양,충남,0
2023-02,주택업체,공공분양,전북,0
2023-02,주택업체,공공분양,전남,0
2023-02,주택업체,공공분양,경북,0
2023-02,주택업체,공공분양,경남,0
2023-02,주택업체,공공분양,제주,0
2023-02,민간부문,소계,전국,33,597
2023-02,민간부문,소계,서울,3,789
2023-02,민간부문,소계,인천,3,818
2023-02,민간부문,소계,경기,13,492
2023-02,민간부문,소계,부산,202
2023-02,민간부문,소계,대구,1,460
2023-02,민간부문,소계,광주,878
2023-02,민간부문,소계,대전,526
2023-02,민간부문,소계,울산,40
2023-02,민간부문,소계,세종,48
2023-02,민간부문,소계,강원,2,445
2023-02,민간부문,소계,충북,1,110
2023-02,민간부문,소계,충남,1,865
2023-02,민간부문,소계,전북,1,437
2023-02,민간부문,소계,전남,901
2023-02,민간부문,소계,경북,841
2023-02,민간부문,소계,경남,483
2023-02,민간부문,소계,제주,262
